holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,Rush Hour,traffic_volume
Non-Holiday,15.129999999999995,0.0,0.0,40,Clouds,1,5545
Non-Holiday,16.210000000000036,0.0,0.0,75,Clouds,0,4516
Non-Holiday,16.430000000000007,0.0,0.0,90,Clouds,0,4767
Non-Holiday,16.980000000000018,0.0,0.0,90,Clouds,0,5026
Non-Holiday,17.99000000000001,0.0,0.0,75,Clouds,0,4918
Non-Holiday,18.57000000000005,0.0,0.0,1,Clear,0,5181
Non-Holiday,20.02000000000004,0.0,0.0,1,Clear,0,5584
Non-Holiday,20.710000000000036,0.0,0.0,1,Clear,0,6015
Non-Holiday,20.99000000000001,0.0,0.0,20,Clouds,1,5791
Non-Holiday,19.950000000000045,0.0,0.0,20,Clouds,1,4770
Non-Holiday,17.82000000000005,0.0,0.0,20,Clouds,1,3539
Non-Holiday,16.230000000000018,0.0,0.0,1,Clear,0,2784
Non-Holiday,15.460000000000036,0.0,0.0,1,Clear,0,2361
Non-Holiday,14.010000000000048,0.0,0.0,1,Clear,0,1529
Non-Holiday,12.300000000000011,0.0,0.0,1,Clear,0,963
Non-Holiday,11.480000000000018,0.0,0.0,1,Clear,0,506
Non-Holiday,10.32000000000005,0.0,0.0,1,Clear,0,321
Non-Holiday,8.03000000000003,0.0,0.0,1,Clear,0,273
Non-Holiday,7.939999999999998,0.0,0.0,1,Clear,0,367
Non-Holiday,6.3799999999999955,0.0,0.0,1,Clear,0,814
Non-Holiday,5.470000000000027,0.0,0.0,1,Clear,0,2718
Non-Holiday,5.080000000000041,0.0,0.0,1,Clear,0,5673
Non-Holiday,4.970000000000027,0.0,0.0,1,Clear,1,6511
Non-Holiday,9.330000000000041,0.0,0.0,1,Clear,1,5471
Non-Holiday,18.82000000000005,0.0,0.0,1,Clear,0,5097
Non-Holiday,20.08000000000004,0.0,0.0,1,Clear,0,4887
Non-Holiday,21.160000000000025,0.0,0.0,1,Clear,0,5337
Non-Holiday,22.02000000000004,0.0,0.0,1,Clear,0,5692
Non-Holiday,21.980000000000018,0.0,0.0,1,Clear,0,6137
Non-Holiday,20.510000000000048,0.0,0.0,20,Clouds,1,4623
Non-Holiday,17.5,0.0,0.0,20,Clouds,1,3591
Non-Holiday,15.04000000000002,0.0,0.0,20,Clouds,0,2898
Non-Holiday,13.950000000000045,0.0,0.0,1,Clear,0,2637
Non-Holiday,13.100000000000023,0.0,0.0,1,Clear,0,1777
Non-Holiday,12.110000000000014,0.0,0.0,1,Clear,0,1015
Non-Holiday,11.400000000000034,0.0,0.0,1,Clear,0,598
Non-Holiday,10.32000000000005,0.0,0.0,1,Clear,0,369
Non-Holiday,10.020000000000039,0.0,0.0,1,Clear,0,312
Non-Holiday,8.890000000000043,0.0,0.0,1,Clear,0,367
Non-Holiday,8.54000000000002,0.0,0.0,1,Clear,0,835
Non-Holiday,8.170000000000016,0.0,0.0,1,Clear,0,2726
Non-Holiday,7.590000000000032,0.0,0.0,1,Clear,0,5689
Non-Holiday,7.420000000000016,0.0,0.0,1,Clear,1,6990
Non-Holiday,8.710000000000036,0.0,0.0,1,Clear,1,5985
Non-Holiday,11.830000000000041,0.0,0.0,1,Clear,1,5309
Non-Holiday,16.03000000000003,0.0,0.0,1,Clear,0,4603
Non-Holiday,18.400000000000034,0.0,0.0,1,Clear,0,4884
Non-Holiday,21.82000000000005,0.0,0.0,1,Clear,0,5104
Non-Holiday,23.230000000000018,0.0,0.0,1,Clear,0,5178
Non-Holiday,24.170000000000016,0.0,0.0,1,Clear,0,5501
Non-Holiday,25.02000000000004,0.0,0.0,1,Clear,0,5713
Non-Holiday,24.910000000000025,0.0,0.0,20,Clouds,0,6292
Non-Holiday,24.52000000000004,0.0,0.0,20,Clouds,1,6057
Non-Holiday,23.210000000000036,0.0,0.0,40,Clouds,1,4907
Non-Holiday,20.700000000000045,0.0,0.0,40,Clouds,1,3503
Non-Holiday,19.28000000000003,0.0,0.0,40,Clouds,0,3037
Non-Holiday,18.620000000000005,0.0,0.0,75,Clouds,0,2822
Non-Holiday,18.210000000000036,0.0,0.0,75,Clouds,0,1992
Non-Holiday,17.970000000000027,0.0,0.0,75,Clouds,0,1166
Non-Holiday,17.480000000000018,0.0,0.0,75,Clouds,0,627
Non-Holiday,17.310000000000002,0.0,0.0,40,Clouds,0,388
Non-Holiday,16.110000000000014,0.0,0.0,0,Clear,0,368
Non-Holiday,10.060000000000002,0.0,0.0,75,Clouds,0,2489
Non-Holiday,9.090000000000032,0.0,0.0,90,Clouds,0,5537
Non-Holiday,8.54000000000002,0.0,0.0,90,Clouds,1,6628
Non-Holiday,7.420000000000016,0.0,0.0,90,Clouds,1,5534
Non-Holiday,6.8700000000000045,0.0,0.0,75,Clouds,1,5403
